gps_disponible,nombre,tipo,ubicacion,url
True,Fontanals Golf,18-hole course,"Fontanals, CT, Spain",showcourse.php?cid=1346063288615
True,Foressos Club de Golf,18-hole course,"Picassent, Valencia, Spain",showcourse.php?cid=1207047424472
True,Franciach,Franciach 1 1-9,"Franciach, Spain",showcourse.php?cid=1325954630249
True,Fuerteventura Golf Club,18-hole course,"Antigua, CN, Spain",showcourse.php?cid=1293739514388
True,fuertoventure,18-hole course,Spain,showcourse.php?cid=1351798591662502
True,Gambito Golf Club Calatayud,Gambito Golf Calatayud,"Calatayud (Zaragoza), Aragon, Spain",showcourse.php?cid=1375635093843
True,Gaudí Reus Golf Club,18-hole course,"Reus, CT, Spain",showcourse.php?cid=1127480940468
True,Goiburu Golf Club,9-hole course,"Andoain, Spain",showcourse.php?cid=1281368366746
True,Golf Abra Del Pas,Abra del Pas,"Mogro, CB, Spain",showcourse.php?cid=1333381586568912
True,Golf Altorreal,18-hole course,"Molina de Segura, MC, Spain",showcourse.php?cid=1367766524774278
True,Golf Bonmont Terres Noves,18-hole course,"Mont-roig del Camp (Tarragona), Cat, Spain",showcourse.php?cid=1336291335349475
True,Golf Cambrils - Pitch & Putt 9 forats,Mas Gallau,"Cambrils, BC, Spain",showcourse.php?cid=1555367185210343
True,Golf Campo de Layos,18-hole course,"Layos, Tol, Spain",showcourse.php?cid=1134208420393
True,Golf Candeleda,Golf Candeleda,"Candeleda, Spain",showcourse.php?cid=1468106140221698
True,Golf Center Majadahonda,Center Majadahonda,"Majadahonda, Spain",showcourse.php?cid=1226231640868
True,Golf Ciudad Real,18-hole course,"Ciudad Real, CM, Spain",showcourse.php?cid=1377290768968172
True,Golf Club Playitas,18-hole course,"Tuineje, CN, Spain",showcourse.php?cid=1331993294112
True,Golf Club Salinas de Antigua,18-hole course,"Antigua, SAL, Spain",showcourse.php?cid=1293743241434
True,Golf Colmenar,9H,Spain,showcourse.php?cid=1371803146210425
True,Golf Costa Adeje,Championship Course,"Adeje, CN, Spain",showcourse.php?cid=1253638484820
True,Golf Costa Adeje,Los Lagos,"Adeje, CN, Spain",showcourse.php?cid=1389965824269184
True,Golf de Andratx,18-hole course,"Camp de Mar, Andratx, Spain",showcourse.php?cid=1152176271485
True,Golf de Caldes,18-hole course,"Caldes de Montbuí (BCN), Spain",showcourse.php?cid=1115068789555
True,Golf de ibiza,18-holes,"Santa eulalia, Spain",showcourse.php?cid=1239395516305
True,Golf de ibiza,9-holes,"Santa eulalia, Spain",showcourse.php?cid=155859426751408
True,Golf de Pals,18-hole course,"Pals, CT, Spain",showcourse.php?cid=1240166127022
True,Golf de Poniente,18-hole course,"Magalluf, Calvia, Mallorca, Spain",showcourse.php?cid=1148714122281
True,Golf de Son Termens,18-hole course,"Bunyola, Mallorca, Spain",showcourse.php?cid=1161578951744
True,Golf del Sur,A-Links,"Golf del Sur, CN, Spain",showcourse.php?cid=1577799871664371_1_1
True,Golf del Sur,B-Norte,"Golf del Sur, CN, Spain",showcourse.php?cid=1577799871664371_2_2
True,Golf del Sur,C-Sur,"Golf del Sur, CN, Spain",showcourse.php?cid=1577799871664371_3_3
True,Golf del Sur,A-Links  + B-Norte,"Golf del Sur, CN, Spain",showcourse.php?cid=1577799871664371_1_2
True,Golf del Sur,A-Links  + C-Sur,"Golf del Sur, CN, Spain",showcourse.php?cid=1577799871664371_1_3
True,Golf del Sur,B-Norte + C-Sur,"Golf del Sur, CN, Spain",showcourse.php?cid=1577799871664371_2_3
True,Golf Dunas de Doñana,DOÑANA GOLF,"Matalascañas, Huelva, Spain",showcourse.php?cid=1295623604571
True,Golf Dunas de Doñana,Golf Dunas de Donana,"Matalascañas, Huelva, Spain",showcourse.php?cid=1266007620689
True,Golf El Puerto,18-hole course,"El Puerto de Santa María, Spain",showcourse.php?cid=1195421810483
True,Golf El Rompido,CAMPO NORTE,"El Rompido, AN, Spain",showcourse.php?cid=1221891307106
True,Golf El Rompido,CAMPO SUR,"El Rompido, AN, Spain",showcourse.php?cid=13508427965961
True,Golf Girona,18-hole course,"St. Julià de Ramis, CAT, Spain",showcourse.php?cid=1123429460062
True,Golf Guadiana,18-hole course,"Badajoz, Spain",showcourse.php?cid=1340080580390
True,Golf Jardín de Aranjuez,18-hole course,"Aranjuez-Madrid, Mad, Spain",showcourse.php?cid=1345806110565044
True,Golf Jardín de Aranjuez,-,"Aranjuez-Madrid, Mad, Spain",showcourse.php?cid=1205094760774
True,Golf Jundiz,Golf Jundiz,"Vitoria, Spain",showcourse.php?cid=1388863210563
True,Golf L' Angel de Lloret,18-hole course,"Lloret de Mar (GIR), Spain",showcourse.php?cid=1114791348693
True,Golf La Estancia,18-hole course,"Chiclana de la Frontera, AN, Spain",showcourse.php?cid=1255194336755
True,Golf La Llorea,18-holes,"Gijon, Asturias, Spain",showcourse.php?cid=1502694313483647
True,Golf La Llorea,Par 70,"Gijon, Asturias, Spain",showcourse.php?cid=1677325759107522
True,Golf La Moraleja,18-hole course,"ALGETE, MAD, Spain",showcourse.php?cid=1194801186432
True,Golf La Moraleja,9H,"ALGETE, MAD, Spain",showcourse.php?cid=1253515531984
True,Golf La Moraleja,CAMPO 1,"ALGETE, MAD, Spain",showcourse.php?cid=1246612897251
True,Golf La Moraleja,CAMPO 2,"ALGETE, MAD, Spain",showcourse.php?cid=1195237530916
True,Golf La Moraleja,CAMPO 3,"ALGETE, MAD, Spain",showcourse.php?cid=1368224210266936
True,Golf La Moraleja,CAMPO 4,"ALGETE, MAD, Spain",showcourse.php?cid=1367616842931658
True,Golf La Roca,18-hole course,"La Roca del Vallès, CT, Spain",showcourse.php?cid=1168635739642
True,Golf La Roqueta,9-hole course,"Castellgalí, CAT, Spain",showcourse.php?cid=1131795138267
True,Golf La Rosaleda,18-hole course,"Puerto de la Cruz, Tenerife, Spain",showcourse.php?cid=1326018202774
True,Golf Las Américas,18-hole course,"Playa de las Américas, Ten, Spain",showcourse.php?cid=1318363572188981
True,Golf Las Colinas,18-hole course,"Dehesa de Campoamor, VC, Spain",showcourse.php?cid=1296498349718
True,Golf Las Ramblas,18-hole course,"Orihuela, VC, Spain",showcourse.php?cid=1107813000158
True,Golf Lerma,Lerma,"Lerma, BU, Spain",showcourse.php?cid=1191611953992
True,Golf Lleida & Country Club,18-hole course,"Raimat (Lleida), Cat, Spain",showcourse.php?cid=1254767078807
True,Golf Los Lagos,Pinseque,"Pinseque, AR, Spain",showcourse.php?cid=1372529791525363
True,GOLF LOS PALOS P&P,LOS PALOS - P&P,"ARONA, SANTA CRUZ DE TENERIFE, Spain",showcourse.php?cid=1719524460758776
True,Golf Maioris,Mallorca,"Llucmajor, IB, Spain",showcourse.php?cid=1307809003439
True,GOLF MEIS,Meis,"Meis. Pontevedra, Galicia, Spain",showcourse.php?cid=1336252674154
True,Golf Montbrú Moià,18-hole course,"Moià (BCN), Spain",showcourse.php?cid=1679488393525365
True,Golf Montbrú Moià,9-hole course,"Moià (BCN), Spain",showcourse.php?cid=1595752859504051
True,Golf Municipal de Llanes,18-hole course,"Llanes, Spain",showcourse.php?cid=1373288967157533
True,Golf Nuevo Portil,18-hole course,"Cartaya, Huelva, Spain",showcourse.php?cid=1127633085203
True,Golf Olivar de la Hinojosa,18H,"Madrid, MAD, Spain",showcourse.php?cid=1312243367596
True,Golf Olivar de la Hinojosa,Corto,"Madrid, MAD, Spain",showcourse.php?cid=1236119554255
True,Golf Park,Golf Park,"Madrid, Spain",showcourse.php?cid=1243333743983
True,Golf Park Mallorca,Golfpark mallorca,"Palma de Mallorca, Spain",showcourse.php?cid=1224573056406
True,Golf Peralada,18-hole course,"Peralada, CT, Spain",showcourse.php?cid=1145180388062
True,Golf Peralada,pitch and putt,"Peralada, CT, Spain",showcourse.php?cid=163320920527110
True,Golf Pitch & Putt Canal Olímpic,Golf Canal Olímpic de Catalunya,"Castelldefels, Spain",showcourse.php?cid=1459765891958602
True,Golf Race,18-hole course,"Madrid, MD, Spain",showcourse.php?cid=1083267597560
True,Golf Race,Pares 3,"Madrid, MD, Spain",showcourse.php?cid=1473028163326150
True,Golf Rio Real,18-hole course,"Marbella, Spain",showcourse.php?cid=1197532572578
True,Golf Sant Feliu,18-hole course,"Sant Feliu de Codines (BCN), CAT, Spain",showcourse.php?cid=1114778313381
True,Golf Sant Joan Barcelona,18-hole course,"Sant Cugat del Vallès / Rubí, CAT, Spain",showcourse.php?cid=1122284978453
True,Golf Sant Marc,18-hole course,"Puigcerda, CAT, Spain",showcourse.php?cid=1207300646489
True,Golf Sant Vicenç de Montalt,18-hole course,"Sant Vicenç de Montalt, CAT, Spain",showcourse.php?cid=1125601177893
True,Golf Santa Ponsa,1,"Santa Ponça, IB, Spain",showcourse.php?cid=1148646480156
True,Golf Santa Ponsa,2,"Santa Ponça, IB, Spain",showcourse.php?cid=1365868690359
True,Golf Santander,18-hole course,"Boadilla del Monte, MD, Spain",showcourse.php?cid=1201694247260
True,Golf Sierra Cortina,Pitch and Putt,"Finestrat (Alicante), Spain",showcourse.php?cid=1458866332111474
True,Golf Son Antem - Mallorca,East,"Llucmajor, IB, Spain",showcourse.php?cid=1245059675006
True,Golf Son Antem - Mallorca,West,"Llucmajor, IB, Spain",showcourse.php?cid=1245402126593
True,Golf Son Gual Mallorca,18-hole course,"Palma de Mallorca, Mallorca, Spain",showcourse.php?cid=1225194257470
True,Golf Son Parc Menorca,son parc,Spain,showcourse.php?cid=1466500409996118
True,Golf Son Quint,Pitch & Path,"Palma, IB, Spain",showcourse.php?cid=1365694349929
True,Golf Son Quint,Son Quint,"Palma, IB, Spain",showcourse.php?cid=1246023309739
True,Golf Son Vida,Par 70,"Son Vida, IB, Spain",showcourse.php?cid=1751407325555651
True,Golf Son Vida,Par 71,"Son Vida, IB, Spain",showcourse.php?cid=1184432759056
True,Golf Torrequebrada,18-hole course,"Benalmádena, AN, Spain",showcourse.php?cid=1081919731968
True,Golf Villa Mayor,18-hole course,"Villamayor, sal, Spain",showcourse.php?cid=1449678776678071
True,GOLF XAZ,18-hole course,"Oleiros,  Coruña, Spain",showcourse.php?cid=1646640344853465
True,Granada Golf Club,18-hole course,"Las Gabias, AN, Spain",showcourse.php?cid=1602233646516464
True,Green Paddock P&P,9-hole course,"Torrelodones, MAD, Spain",showcourse.php?cid=1272035810216
True,Green Sire Cabanillas Golf,18-hole course,"Cabanillas del Campo, Guadalajara, Spain",showcourse.php?cid=1228385101972
True,Greenlife Golf Marbella,9-hole course,"Marbella, AN, Spain",showcourse.php?cid=1400393416725434
True,Grijota Golf,Grijota,"Grijota (Palencia), PA, Spain",showcourse.php?cid=1275648017080
True,Guadalhorce Club de Golf,18-hole course,"Málaga, AN, Spain",showcourse.php?cid=1222541088281
True,Guara,Golf de Guara,"Huesca, Spain",showcourse.php?cid=1314824780154
True,Hacienda del Álamo,18-hole course,"Fuente Álamo, Murcia, Spain",showcourse.php?cid=1295269338899
True,Hacienda Riquelme Golf Resort,18-hole course,"Sucina, MC, Spain",showcourse.php?cid=1325108368340
True,Hauses Putt Training Course,Training Turf 3 Meters,Spain,showcourse.php?cid=1351625091949837
True,HCP1 Pitch&Putt,Hcp1,"St Vicens de Montalt, Spain",showcourse.php?cid=1390552828941112
True,Hércules Club de Golf,18-hole course,"Arteixo, A Coruña, GAL, Spain",showcourse.php?cid=1346777769591843
True,HIERRO 3 - Reino de León -,18-hole course,"Villanueva del Arbol, León, Spain",showcourse.php?cid=1624387917855636
True,Hotel Callao Salvaje,18-hole course,Spain,showcourse.php?cid=1520454384425792
True,Iberostar Real Novo Sancti Petri Golf Club,A - Mar y pinos,"Novo Sancti Petri, AN, Spain",showcourse.php?cid=1108638537547
True,Iberostar Real Novo Sancti Petri Golf Club,B - Centro,"Novo Sancti Petri, AN, Spain",showcourse.php?cid=1108639302761
True,Iberostar Real Novo Sancti Petri Golf Club,C - Campano,"Novo Sancti Petri, AN, Spain",showcourse.php?cid=1255093246290
True,IDP GOLF BASE AEREA DE ZARAGOZA,18-hole course,"Zaragoza, Spain",showcourse.php?cid=1458829854595012
True,INFINITUM Golf,Hills,"Vila-seca, CT, Spain",showcourse.php?cid=1249029452388
True,INFINITUM Golf,Hills-Ruins temporary loop,"Vila-seca, CT, Spain",showcourse.php?cid=1747066567533331
True,INFINITUM Golf,Lakes,"Vila-seca, CT, Spain",showcourse.php?cid=1249110054265
True,INFINITUM Golf,Ruins,"Vila-seca, CT, Spain",showcourse.php?cid=1225611077294
True,Instalaciones deportivas la cartuja,La cartuja,"Sevilla, Sevilla, Spain",showcourse.php?cid=1324917062026
True,Isla Canela Golf Club,Links,"Ayamonte, AN, Spain",showcourse.php?cid=1608235368686961
True,Isla Canela Golf Club,Old Course,"Ayamonte, AN, Spain",showcourse.php?cid=1379838790470002
True,isla de la cartuja,9-hole course,"sevilla, Spain",showcourse.php?cid=1410971544857861
True,Isla Valdecañas,Valdecañas,"El Gordo, ext, Spain",showcourse.php?cid=1326286623504
True,"Islantilla Golf Resort, S.L",Azul,"Isla Cristina, Huelva, Spain",showcourse.php?cid=1217352897300_1_1
True,"Islantilla Golf Resort, S.L",Amarillo,"Isla Cristina, Huelva, Spain",showcourse.php?cid=1217352897300_2_2
True,"Islantilla Golf Resort, S.L",Verde,"Isla Cristina, Huelva, Spain",showcourse.php?cid=1217352897300_3_3
True,"Islantilla Golf Resort, S.L",Azul + Amarillo,"Isla Cristina, Huelva, Spain",showcourse.php?cid=1217352897300_1_2
True,"Islantilla Golf Resort, S.L",Azul + Verde,"Isla Cristina, Huelva, Spain",showcourse.php?cid=1217352897300_1_3
True,"Islantilla Golf Resort, S.L",Amarillo + Verde,"Isla Cristina, Huelva, Spain",showcourse.php?cid=1217352897300_2_3
True,Izki Golf,Lagran,"Urturi, PV, Spain",showcourse.php?cid=1280137371868
True,Izki Golf,Urturi,"Urturi, PV, Spain",showcourse.php?cid=1147731481217
True,Jandia Golf Fuerteventura,18-hole course,"Morro Jable, Spain",showcourse.php?cid=1451661302269149
True,LA ALMARZA golf,la almarza,"SANCHIDRIAN (AVILA), SAN, Spain",showcourse.php?cid=1284377966100
True,la barganiza,la barganiza,"Oviedo, AST, Spain",showcourse.php?cid=1362003477520990
True,La Cala Golf,America,"Mijas Costa Malaga, AN, Spain",showcourse.php?cid=1200430222149
True,La Cala Golf,Asia,"Mijas Costa Malaga, AN, Spain",showcourse.php?cid=1105611211306
True,La Cala Golf,Europa,"Mijas Costa Malaga, AN, Spain",showcourse.php?cid=1200604981160
True,La Caminera Golf,La Caminera Golf,"Torrenueva (Ciudad Real), Spain",showcourse.php?cid=1327561977723321
True,La Cuesta,18-hole course,"Llanes, Ast, Spain",showcourse.php?cid=1174406406132
True,La Dehesa de moron,18-hole course,Spain,showcourse.php?cid=1355174750754
True,La Ducuesa Golf Club,La Ducuesa,Spain,showcourse.php?cid=1303714507888
True,La Duquesa Golf Country Club,18-hole course,"San Luis de Sabinillas, AN, Spain",showcourse.php?cid=1335833294834531
True,La Envia Golf,18-hole course,"Vícar, AN, Spain",showcourse.php?cid=1488454265118378
True,La Faisanera,18-hole course,"Palazuelos de Eresma - Segovia, Spain",showcourse.php?cid=1290534628964
True,La Finca Golf,Championship course,"Algorfa, VC, Spain",showcourse.php?cid=1202572522789
True,La Fresneda,La fresneda club de golf,"La fresneda, Ast, Spain",showcourse.php?cid=1336927257465
True,La Galera,18-hole course,"valladolid, Spain",showcourse.php?cid=1356832957610
True,La Galiana Golf Resort,18-hole course,"Tavernes de la Valldigna, VC, Spain",showcourse.php?cid=1316115566076
True,La Graiera,18,"Calafell (Tarragona), CAT, Spain",showcourse.php?cid=1266337333130
True,La Graiera,Par 3,"Calafell (Tarragona), CAT, Spain",showcourse.php?cid=1250786841553
True,La Hacienda Links Golf Resort,Heathland,"San Roque, AN, Spain",showcourse.php?cid=1247247432117
True,La Hacienda Links Golf Resort,Links,"San Roque, AN, Spain",showcourse.php?cid=1246819664124
True,La Junquera,La Junquera 09-09-2012,"Pedreña, CAN, Spain",showcourse.php?cid=1347182826972
True,La Manga Club,North,"Atamaría, MC, Spain",showcourse.php?cid=1274736514862
True,La Manga Club,South,"Atamaría, MC, Spain",showcourse.php?cid=1404288837582965
True,La Manga Club,West,"Atamaría, MC, Spain",showcourse.php?cid=1274738434141
True,La Maquessa,no courses added,Spain,newcourseform.php?clid=1737570551463383
True,La Marquesa Golf,18-hole course,"Rojales, VC, Spain",showcourse.php?cid=1223571806453
True,La Monacilla Golf Club,18-hole course,"Dehesa Golf, AN, Spain",showcourse.php?cid=1335440760113
True,La Morgal Golf,18-hole course,"Llanera, asturias, Spain",showcourse.php?cid=1433970691199
True,La noria golf,9-hole course,"La Cala de Mijas, AN, Spain",showcourse.php?cid=1251387546331
True,La Peñaza,La Peñaza 2014,"Zaragoza, Spain",showcourse.php?cid=1244411783409
True,La Peñuela Golf Shot,La Peñuela,"Cabanillas de la Sierra, MAD, Spain",showcourse.php?cid=1471383698123297
True,La Peraleja,peraleja,"Sucina, Spain",showcourse.php?cid=1248770904368
True,La Quinta Golf & Country Club,A- San Pedro,"Benahavís, AN, Spain",showcourse.php?cid=1238234321453_1_1
True,La Quinta Golf & Country Club,B - Ronda,"Benahavís, AN, Spain",showcourse.php?cid=1238234321453_2_2
True,La Quinta Golf & Country Club,C - Guadaiza,"Benahavís, AN, Spain",showcourse.php?cid=1238234321453_3_3
True,La Quinta Golf & Country Club,A- San Pedro + B - Ronda,"Benahavís, AN, Spain",showcourse.php?cid=1238234321453_1_2
True,La Quinta Golf & Country Club,A- San Pedro + C - Guadaiza,"Benahavís, AN, Spain",showcourse.php?cid=1238234321453_1_3
True,La Quinta Golf & Country Club,B - Ronda + C - Guadaiza,"Benahavís, AN, Spain",showcourse.php?cid=1238234321453_2_3
True,La Rasa de Berbes,La Rasa de Berbes,"Berbes, Spain",showcourse.php?cid=1175785118092
True,La Reserva Golf Club,18-hole course,"San Roque, Sotogrande, Cádiz, Spain",showcourse.php?cid=1285227654086
True,La Reserva Rotana,18-hole course,"Manacor, Mallorca, Spain",showcourse.php?cid=1624676672544741
True,La Resina Golf & Country Club,9 Holes,"Estepona - Málaga, Spain",showcourse.php?cid=1495368779302631
True,La Sella Golf,Llebeig,"Jesus Pobre, VC, Spain",showcourse.php?cid=1216763022540_1_1
True,La Sella Golf,Gregal,"Jesus Pobre, VC, Spain",showcourse.php?cid=1216763022540_2_2
True,La Sella Golf,Mestral,"Jesus Pobre, VC, Spain",showcourse.php?cid=1216763022540_3_3
True,La Sella Golf,Llebeig + Gregal,"Jesus Pobre, VC, Spain",showcourse.php?cid=1216763022540_1_2
True,La Sella Golf,Llebeig + Mestral,"Jesus Pobre, VC, Spain",showcourse.php?cid=1216763022540_1_3
True,La Sella Golf,Gregal + Mestral,"Jesus Pobre, VC, Spain",showcourse.php?cid=1216763022540_2_3
True,La Siesta Golf Calahonda,9-hole course,"Mijas-Costa, Spain",showcourse.php?cid=1366738420497191
True,La Tercia Golf Resort,18-hole course,"La Tercia, Mu, Spain",showcourse.php?cid=1218387251299
True,La Torre Golf - GNK Golf,18-hole course,"Roldán, MC, Spain",showcourse.php?cid=1356125407513576
True,Laguna De Los Patos,9-hole course,"LA RODA, albacete, Spain",showcourse.php?cid=1595959342971132
True,Lanzarote Golf,18-hole course,"Puerto del Carmen, CN, Spain",showcourse.php?cid=1423679410964052
True,Larrabea Club de Golf,LARRABEA CLUB,"Legutiano, Ala, Spain",showcourse.php?cid=1241762948668
True,Las Caldas,Campo Municipal Las Caldas,"Oviedo, AST, Spain",showcourse.php?cid=1334740260377982
True,Las Llanas,9 Hoyos,"Grajera. Segovia, Spain",showcourse.php?cid=1341686116804943
True,Las Lomas Bosque,18 hoyos,"Villaviciosa de Odon, Mad, Spain",showcourse.php?cid=1188587625118
True,LAS MATAS,18-hole course,"Madrid, Spain",showcourse.php?cid=1295091926703
True,Las Minas,9-hole course,"Aznalcázar - Sevilla, Spain",showcourse.php?cid=1267443754350
True,Las Palmeras Golf,Recorrido A,"Las Palmas, LPA, Spain",showcourse.php?cid=1339338279071
True,Las Palmeras Golf,Recorrido B,"Las Palmas, LPA, Spain",showcourse.php?cid=1407514547172153
True,Las Palmeras Golf,Recorrido C,"Las Palmas, LPA, Spain",showcourse.php?cid=1742819520357696
True,Las Pinaillas,18-hole course,"Albacete, CM, Spain",showcourse.php?cid=1346858468858
True,Las Rejas Benidorm,Golf Pitch & Putt,"Benidorm, AL, Spain",showcourse.php?cid=1313506210222
True,Laukariz Country Club,A,"Laukariz, PV, Spain",showcourse.php?cid=1336676508894302_1_1
True,Laukariz Country Club,B,"Laukariz, PV, Spain",showcourse.php?cid=1336676508894302_2_2
True,Laukariz Country Club,C,"Laukariz, PV, Spain",showcourse.php?cid=1336676508894302_3_3
True,Laukariz Country Club,A + B,"Laukariz, PV, Spain",showcourse.php?cid=1336676508894302_1_2
True,Laukariz Country Club,A + C,"Laukariz, PV, Spain",showcourse.php?cid=1336676508894302_1_3
True,Laukariz Country Club,B + C,"Laukariz, PV, Spain",showcourse.php?cid=1336676508894302_2_3
True,Lauro Golf Resort,1. Nine,"Alhaurín de la Torre, AN, Spain",showcourse.php?cid=1153863972427_1_1
True,Lauro Golf Resort,2. Nine,"Alhaurín de la Torre, AN, Spain",showcourse.php?cid=1153863972427_2_2
True,Lauro Golf Resort,3. Nine,"Alhaurín de la Torre, AN, Spain",showcourse.php?cid=1153863972427_3_3
True,Lauro Golf Resort,1. Nine + 2. Nine,"Alhaurín de la Torre, AN, Spain",showcourse.php?cid=1153863972427_1_2
True,Lauro Golf Resort,1. Nine + 3. Nine,"Alhaurín de la Torre, AN, Spain",showcourse.php?cid=1153863972427_1_3
True,Lauro Golf Resort,2. Nine + 3. Nine,"Alhaurín de la Torre, AN, Spain",showcourse.php?cid=1153863972427_2_3
True,León Club de Golf El Cueto,El Cueto,"Spain, Spain",showcourse.php?cid=1216669328576
True,LIZASO GOLF CLUB,18-hole course,"Lizaso, Navarra, Spain",showcourse.php?cid=1754904476236008
True,Lo Romero golfclub,18-hole course,"Pilar de la Horadada, VC, Spain",showcourse.php?cid=1245662030352
True,Logroño,La Grajera,"Logroño, Rio, Spain",showcourse.php?cid=1478208390764319
True,Lorca Resort golfclub,lorca resort,"Purias-Lorca, Spain",showcourse.php?cid=1468263619415973
True,Los Arqueros Golf & Country Club,18-hole course,"Benahavís, AN, Spain",showcourse.php?cid=1215014036136
True,los Montesinos,Montesinosgolf,"scott, Spain",showcourse.php?cid=1357838709115
True,Los Moriscos Club de Golf,18-hole course,"Motril, AN, Spain",showcourse.php?cid=1201336845315
True,Los Naranjos Golf Club,18-hole course,"Marbella, AN, Spain",showcourse.php?cid=1207325971472
True,Los Palos Golf Center,Los Palos,"Arona, Tenerife, Spain",showcourse.php?cid=1389966620887414
True,Los Retamares,18-hole course,"Madrid, Spain",showcourse.php?cid=1185436609473
True,Lugo,9 Hoyos,"Lugo, LU, Spain",showcourse.php?cid=1341669251373479
True,Magna Golf Marbella,18 holes,"Marbella, AN, Spain",showcourse.php?cid=1332847465384
True,Mar Menor,no courses added,Spain,newcourseform.php?clid=1739623312378289
True,Mar Menor Golf Village,18-hole course,"Torre-Pacheco, MC, Spain",showcourse.php?cid=1351541372617314
True,Marbella club golf resort,18-hole course,"Benahavís, AN, Spain",showcourse.php?cid=1187781405364
True,Marbella Golf Country Club,Marbella,"Marbella, AN, Spain",showcourse.php?cid=1242199968700
True,Margas Golf,18-hole course,"Latas, Hue, Spain",showcourse.php?cid=1286547279218
True,Marina golf Mojacar,18-hole course,"Mojacar almeria, alm, Spain",showcourse.php?cid=1213823456216
True,Mas Gurumbau - Pitch & Putt,18-hole course,"Taradell, Spain",showcourse.php?cid=1444151093588728
True,Mas Pages,Mas Pages Golf,"Girona, Spain",showcourse.php?cid=1448735350891509
True,Mas Tapiolas Pitch & Putt,18-hole course,"Santa Cristina d'Aro, CAT, Spain",showcourse.php?cid=1475562261435712
True,Mas Torrellas Pitch & Putt,18-hole course,"Santa Cristina d'Aro, CAT, Spain",showcourse.php?cid=1475522561693751
True,Masia Estrellas,18-hole course,"Valencia, vl, Spain",showcourse.php?cid=1171015051535
True,Masia Estrellas,Mini golf,"Valencia, vl, Spain",showcourse.php?cid=1317841501754
True,Maspalomas Golf,18-hole course,"Maspalomas, CN, Spain",showcourse.php?cid=1148019568800
True,Mataleñas,Mataleñas 09-09-2012,"Santander, Spain",showcourse.php?cid=1347182614602
True,Meaztegi Golf,18-hole course,"Ortuella, Viz, Spain",showcourse.php?cid=1154990624014
True,Medina Elvira Golf,18-hole course,"Granada, Spain",showcourse.php?cid=1239901008040
True,Mediterraneo Golf,18-hole course,"Borriol, VC, Spain",showcourse.php?cid=1118834332906
True,Meis,18-hole course,"PON, Spain",showcourse.php?cid=1249625831192
True,Melilla,no valid,"Melilla, ML, Spain",showcourse.php?cid=1367085986141391
True,Melilla,valido,"Melilla, ML, Spain",showcourse.php?cid=1367085834485409
True,Meloneras Golf Club,18-hole course,"Maspalomas, CN, Spain",showcourse.php?cid=1392901166429
True,Miguel Angel Jimenez Golf Academy,9-hole course,"Torremolinos, AN, Spain",showcourse.php?cid=1497964215818684
True,Mijas Golf Club,Los Lagos,"Las Lagunas de Mijas, AN, Spain",showcourse.php?cid=1374241975773864
True,Mijas Golf Club,Los Olivos,"Las Lagunas de Mijas, AN, Spain",showcourse.php?cid=1175010394261
True,MIÑO Club de Golf ÁRTABRO,MIÑO 18 Hoyos,"MIÑO (A CORUÑA), Spain",showcourse.php?cid=1558415488875966
True,MIÑO Club de Golf ÁRTABRO,MIÑO 9 Hoyos IDA,"MIÑO (A CORUÑA), Spain",showcourse.php?cid=1602852253370131
True,MIÑO Club de Golf ÁRTABRO,MIÑO 9 Hoyos VUELTA,"MIÑO (A CORUÑA), Spain",showcourse.php?cid=1602852669369471
True,Miño OLD,18 Hoyos R1 LARGO,"A Coruña, C, Spain",showcourse.php?cid=1399300383196325
True,Miño OLD,18 Hoyos R2 CORTO,"A Coruña, C, Spain",showcourse.php?cid=1323347460797
True,Miño OLD KO,MIÑO,"La Coruña, Spain",showcourse.php?cid=1335910792234
True,Miraflores Golf Club,18-hole course,"Mijas Costa, Spain",showcourse.php?cid=1144331101067
True,Monte Mayor,yards,"Malaga, Spain",showcourse.php?cid=1237186632669
True,Monte Paraiso,9-hole course,"Marbella, Málaga, Spain",showcourse.php?cid=1688313043730712
True,Montealegre Golf Club,Montealegre,"Ourense, Spain",showcourse.php?cid=1435170069165079
True,montesinos,9-hole course,"Los Montesinos, sco, Spain",showcourse.php?cid=1357838854531
True,Mosa Trajectum Golf,Pine + Stone,"Baños y Medigo - Murcia, Spain",showcourse.php?cid=1302419999857
True,Mosa Trajectum Golf,Stone + Olive,"Baños y Medigo - Murcia, Spain",showcourse.php?cid=1220810099358
True,Navagrulla,18-hole course,"San Leonardo de Yagüe, SO, Spain",showcourse.php?cid=1374501660678
True,Navaluenga,Navaluenga,"Navaluenga, AVI, Spain",showcourse.php?cid=1323103293954772
True,NCG LAS MATAS,18-hole course,"Madrid, mad, Spain",showcourse.php?cid=1222417725948
True,Negralejo,Corto,"Rivas-Vaciamadrid, Madrid, Spain",showcourse.php?cid=1184508665515
True,Negralejo,Largo,"Rivas-Vaciamadrid, Madrid, Spain",showcourse.php?cid=1355836820515320
True,Negralejo,Largo-Corto,"Rivas-Vaciamadrid, Madrid, Spain",showcourse.php?cid=1184064800921
True,Negralejo,Negralejo 18 P&P,"Rivas-Vaciamadrid, Madrid, Spain",showcourse.php?cid=1425326224344
True,New Madrid Golf Club S.D.,18-hole course,"Madrid, MD, Spain",showcourse.php?cid=1083269515077
True,New Sierra Golf,18-hole course,"Avileses, MC, Spain",showcourse.php?cid=1676130788465220
