id,club_id,round_id,name
3c383979-c5c3-49c3-ab56-c2f35e79d90b,f421c9ec-0c35-48d5-9a93-01a606caffcf,999e53d8-03e9-42f2-af3c-14564ede498b,White
f5aec1ad-4b05-4b27-b5cf-0e6b13bf2de7,f421c9ec-0c35-48d5-9a93-01a606caffcf,999e53d8-03e9-42f2-af3c-14564ede498b,Yellow
092dea70-2f52-4949-9996-ffbbd7248a03,f421c9ec-0c35-48d5-9a93-01a606caffcf,999e53d8-03e9-42f2-af3c-14564ede498b,Blue
5e52b7c3-555d-4159-a904-d04355aa8ecd,f421c9ec-0c35-48d5-9a93-01a606caffcf,999e53d8-03e9-42f2-af3c-14564ede498b,Red
d7bbc764-ca2d-4055-aec4-79e6670b7b93,f421c9ec-0c35-48d5-9a93-01a606caffcf,999e53d8-03e9-42f2-af3c-14564ede498b,Short Red
c50fc567-4216-45a3-a3ed-1b57cb253589,9a6651e9-9aa6-460c-ab81-c9d6beae237a,10f4aa9b-e4a8-492c-a50b-3331e1e00089,Yellow
fea348c3-b4a4-4b12-a646-becf29c2f1e3,9a6651e9-9aa6-460c-ab81-c9d6beae237a,10f4aa9b-e4a8-492c-a50b-3331e1e00089,Red
471c3225-83ba-42ea-88a8-841e0484c118,9a6651e9-9aa6-460c-ab81-c9d6beae237a,ac08304f-f883-4d52-bad2-8b2a3e1df4a0,White
fe3a5bac-8658-4d5a-b84c-be9192fcc33e,9a6651e9-9aa6-460c-ab81-c9d6beae237a,ac08304f-f883-4d52-bad2-8b2a3e1df4a0,Yellow
e2d4c5b7-96a9-460e-8fd8-6c36f86f49d5,9a6651e9-9aa6-460c-ab81-c9d6beae237a,ac08304f-f883-4d52-bad2-8b2a3e1df4a0,Blue
25fc9a69-0fef-4d0b-b157-767748513114,9a6651e9-9aa6-460c-ab81-c9d6beae237a,ac08304f-f883-4d52-bad2-8b2a3e1df4a0,Red
ed0c8fa1-d350-49a2-8f78-e156da1a118a,2f463702-f0d1-4f76-a293-1aa18eeaee6d,0cf757d9-a7c3-4fc2-b399-70f5deb548e9,White
a3076e07-057a-4002-8dcb-63572fb1de05,2f463702-f0d1-4f76-a293-1aa18eeaee6d,0cf757d9-a7c3-4fc2-b399-70f5deb548e9,Yellow
916b7551-1507-4406-a6d4-ce6c59b49179,2f463702-f0d1-4f76-a293-1aa18eeaee6d,0cf757d9-a7c3-4fc2-b399-70f5deb548e9,blue
7a8ebfdc-e573-49fa-81fa-18fedfcceebd,2f463702-f0d1-4f76-a293-1aa18eeaee6d,0cf757d9-a7c3-4fc2-b399-70f5deb548e9,red
0d0c85a7-a907-4f0f-a686-415409f726c7,968749e4-44d7-4a76-8f20-f63b87c8347c,8fd18dca-1a1d-47fe-9cd6-c1e6e88d9b26,White
1dbc4db1-5aa6-4fba-9b7d-9cc86cbb424a,968749e4-44d7-4a76-8f20-f63b87c8347c,8fd18dca-1a1d-47fe-9cd6-c1e6e88d9b26,Black
e061e1f8-cb19-481a-8b65-6c3d203e46b2,968749e4-44d7-4a76-8f20-f63b87c8347c,8fd18dca-1a1d-47fe-9cd6-c1e6e88d9b26,Yellow
91f7f649-a8fb-4240-aadf-a774ae0842b5,968749e4-44d7-4a76-8f20-f63b87c8347c,8fd18dca-1a1d-47fe-9cd6-c1e6e88d9b26,Blue
0361c396-780f-452f-963c-590f17e7340c,968749e4-44d7-4a76-8f20-f63b87c8347c,8fd18dca-1a1d-47fe-9cd6-c1e6e88d9b26,Red
ec13f992-5bc7-4c7c-a602-70e5eeac9125,858c0aec-3c5d-49ba-97d1-3d2e458e5c3a,0c9dc3e6-c274-4aa3-851f-559aa53e31b2,White
1727afc8-f1f5-4868-81ea-a4b74fe48b12,858c0aec-3c5d-49ba-97d1-3d2e458e5c3a,0c9dc3e6-c274-4aa3-851f-559aa53e31b2,Yellow
40a681f0-ad3b-4e60-aa8b-599846577c57,858c0aec-3c5d-49ba-97d1-3d2e458e5c3a,0c9dc3e6-c274-4aa3-851f-559aa53e31b2,Blue
60065bb8-2510-44a7-a2c4-0cab72504b53,858c0aec-3c5d-49ba-97d1-3d2e458e5c3a,0c9dc3e6-c274-4aa3-851f-559aa53e31b2,Red
23494fde-c222-42d6-b88a-feeaa4ed935b,9b95d42b-0f8a-41ff-adc7-eb7765b0b8f4,cd4d588f-fd53-4399-aa9d-b15784dd70f6,Black
3a8d41bf-c835-4b4d-9ed9-5a46b3209de6,9b95d42b-0f8a-41ff-adc7-eb7765b0b8f4,cd4d588f-fd53-4399-aa9d-b15784dd70f6,White
f94541ca-5ac3-49ec-ad7c-dc75482a310c,9b95d42b-0f8a-41ff-adc7-eb7765b0b8f4,cd4d588f-fd53-4399-aa9d-b15784dd70f6,Yellow
65765d75-3545-4e13-b4fe-4be8ea55c9de,9b95d42b-0f8a-41ff-adc7-eb7765b0b8f4,cd4d588f-fd53-4399-aa9d-b15784dd70f6,Blue
65821d3d-639e-473d-af80-bb1cc990db0b,9b95d42b-0f8a-41ff-adc7-eb7765b0b8f4,cd4d588f-fd53-4399-aa9d-b15784dd70f6,Red
f4f13447-84a2-4012-a9f3-9a0ef9951e56,675004f1-d448-4664-8d62-065a3cf8586d,2b89fc6a-10ad-4308-a417-6c996c75ea6e,White
f55d171a-1979-44b0-8730-f9954426a398,675004f1-d448-4664-8d62-065a3cf8586d,2b89fc6a-10ad-4308-a417-6c996c75ea6e,Yellow
e6cb2da0-df47-4b7c-8bac-38dd549dd309,675004f1-d448-4664-8d62-065a3cf8586d,2b89fc6a-10ad-4308-a417-6c996c75ea6e,Blue
2ef87b73-b575-4f6b-8faf-a41a4d6844d5,675004f1-d448-4664-8d62-065a3cf8586d,2b89fc6a-10ad-4308-a417-6c996c75ea6e,Red
bbfb87ad-59ec-4f6a-8dd0-6e7f3ba1933d,675004f1-d448-4664-8d62-065a3cf8586d,467b3f86-6405-420e-9649-c9dc0721db4e,White
a0018b12-70ea-4119-9699-34f4dc2b5dcf,675004f1-d448-4664-8d62-065a3cf8586d,467b3f86-6405-420e-9649-c9dc0721db4e,Yellow
b63008d5-4e7a-41a2-b36c-a1b090e8d6e2,675004f1-d448-4664-8d62-065a3cf8586d,467b3f86-6405-420e-9649-c9dc0721db4e,Blue
6396a11a-ff7a-4776-a94a-72857aa1ccf8,675004f1-d448-4664-8d62-065a3cf8586d,467b3f86-6405-420e-9649-c9dc0721db4e,Red
c542c80a-1e98-4f5d-bb4b-0caddacd5ba1,675004f1-d448-4664-8d62-065a3cf8586d,9f5f3878-a169-49e2-b5a8-a0018a24ae7d,White
7b070109-f417-4e75-bc1d-fdfe40c9b7ae,675004f1-d448-4664-8d62-065a3cf8586d,9f5f3878-a169-49e2-b5a8-a0018a24ae7d,Yellow
76c3ad71-6316-4353-b039-9cc8f1dac809,675004f1-d448-4664-8d62-065a3cf8586d,9f5f3878-a169-49e2-b5a8-a0018a24ae7d,Blue
693f1516-6eb2-45f1-94ce-728502d778e0,675004f1-d448-4664-8d62-065a3cf8586d,9f5f3878-a169-49e2-b5a8-a0018a24ae7d,Red
bb5816ce-fc56-4223-a3e2-f5ce52172460,675004f1-d448-4664-8d62-065a3cf8586d,8cd273cc-1765-4ea7-bd3b-fec37f278d26,White
1af88d01-701c-4e00-840e-16ed9675ea7d,675004f1-d448-4664-8d62-065a3cf8586d,8cd273cc-1765-4ea7-bd3b-fec37f278d26,Yellow
955f8cb9-2ee3-4703-8a44-3fc050025042,675004f1-d448-4664-8d62-065a3cf8586d,8cd273cc-1765-4ea7-bd3b-fec37f278d26,Blue
f405bd1d-c1a7-479d-ac9c-d5b759a38648,675004f1-d448-4664-8d62-065a3cf8586d,8cd273cc-1765-4ea7-bd3b-fec37f278d26,Red
2ad94faa-8be1-49dc-901b-36748e73b7cd,675004f1-d448-4664-8d62-065a3cf8586d,8c789882-226f-4b3e-a25d-6cd8bc46689a,White
ce8b6071-0df1-4dea-958e-4b74818dfc1f,675004f1-d448-4664-8d62-065a3cf8586d,8c789882-226f-4b3e-a25d-6cd8bc46689a,Yellow
895caa8e-4b05-48b0-bff7-72a089aa6216,675004f1-d448-4664-8d62-065a3cf8586d,8c789882-226f-4b3e-a25d-6cd8bc46689a,Blue
a4137428-e770-47eb-b9b6-36b41a1cb0de,675004f1-d448-4664-8d62-065a3cf8586d,8c789882-226f-4b3e-a25d-6cd8bc46689a,Red
444434af-219a-4449-8a5f-53549d9077b3,675004f1-d448-4664-8d62-065a3cf8586d,64b7e56f-dafb-4d9d-bf94-2ca4337b88cc,White
f2eacfe5-3a62-4a29-bf23-c0456f930076,675004f1-d448-4664-8d62-065a3cf8586d,64b7e56f-dafb-4d9d-bf94-2ca4337b88cc,Yellow
f0fe7559-4dcc-4b26-a50a-711b0c513b6e,675004f1-d448-4664-8d62-065a3cf8586d,64b7e56f-dafb-4d9d-bf94-2ca4337b88cc,Blue
e3aa897a-100b-432d-a724-b37ef567c4ca,675004f1-d448-4664-8d62-065a3cf8586d,64b7e56f-dafb-4d9d-bf94-2ca4337b88cc,Red
12e02405-2f43-4db5-9f3a-da6bf8e61cee,0dad6cd7-905b-443f-b82f-bddba4f37178,95c439a0-7a2e-4da5-9b5f-284cfe0dac6d,White
d92bbce9-8cc5-4985-813d-7683a976fa9c,0dad6cd7-905b-443f-b82f-bddba4f37178,95c439a0-7a2e-4da5-9b5f-284cfe0dac6d,Yellow
b8ad9776-f298-47f7-a98f-201f02e20065,0dad6cd7-905b-443f-b82f-bddba4f37178,95c439a0-7a2e-4da5-9b5f-284cfe0dac6d,Blue
7ccc4838-392c-4494-8f8d-f70f51361409,0dad6cd7-905b-443f-b82f-bddba4f37178,95c439a0-7a2e-4da5-9b5f-284cfe0dac6d,Red
5f935762-a64a-478d-8b3b-294fde16828c,0dad6cd7-905b-443f-b82f-bddba4f37178,95c439a0-7a2e-4da5-9b5f-284cfe0dac6d,Orange
3e3062a6-5196-44cc-b519-5f971587647c,02fd8aa1-065f-4c7c-aa9c-93d2e7050084,2d521916-ed66-4b7a-9631-ce8c4a4a14a1,White
230daf02-3d2c-406e-9e5e-c9db7e5f3ba1,02fd8aa1-065f-4c7c-aa9c-93d2e7050084,2d521916-ed66-4b7a-9631-ce8c4a4a14a1,Yellow
1b16f9b4-f358-49d5-95db-46999801f20b,02fd8aa1-065f-4c7c-aa9c-93d2e7050084,2d521916-ed66-4b7a-9631-ce8c4a4a14a1,Blue
db13e804-57e3-4b70-9673-55fbb8619052,02fd8aa1-065f-4c7c-aa9c-93d2e7050084,2d521916-ed66-4b7a-9631-ce8c4a4a14a1,Red
0224c5ce-1303-4270-a9ff-d7a3d731758e,64f589d6-13e4-4efc-a702-f62306bb4ff8,800df9c3-345a-40f4-b8d4-f8a9d36639c7,Yellow
665d803e-f8cc-4893-88dd-559f0aee776b,64f589d6-13e4-4efc-a702-f62306bb4ff8,800df9c3-345a-40f4-b8d4-f8a9d36639c7,Red
71226867-5eff-47e0-92d4-767292cf878c,4497edeb-d16a-4d57-a61f-2fbcc25f33cd,18d95267-a4d8-442f-a2d7-c8029e9733fe,White
a191d5ac-826b-4986-acb5-c0ecb8f3d734,4497edeb-d16a-4d57-a61f-2fbcc25f33cd,18d95267-a4d8-442f-a2d7-c8029e9733fe,Yellow
22a7df18-3f04-443b-8339-53764a81adb9,4497edeb-d16a-4d57-a61f-2fbcc25f33cd,18d95267-a4d8-442f-a2d7-c8029e9733fe,Red
b2e1b728-a3ba-4d4c-bf45-129e863a15ca,4497edeb-d16a-4d57-a61f-2fbcc25f33cd,d77d1336-355e-4d80-9d0b-e2d099a47bdf,GREEN
bea0a845-6da9-41a2-afd6-532a49c1e1fe,4497edeb-d16a-4d57-a61f-2fbcc25f33cd,d77d1336-355e-4d80-9d0b-e2d099a47bdf,
7fe7a1f7-69f7-41d1-b6cc-775f30be1931,ec64e71a-cbdc-4ad2-b067-545d61da3bfa,356a82b4-7ec6-4132-a12a-c3e2a2eed4c4,White
9e88d5a7-5a83-4985-8798-9d638fb33e34,ec64e71a-cbdc-4ad2-b067-545d61da3bfa,356a82b4-7ec6-4132-a12a-c3e2a2eed4c4,Yellow
8a607969-37f3-4f99-b818-4c9ce288869e,ec64e71a-cbdc-4ad2-b067-545d61da3bfa,356a82b4-7ec6-4132-a12a-c3e2a2eed4c4,Blue
